Code,Plot,Subplot,idTree,FieldNbr,Forest,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,CommentField,CommentLab,Genus,Species,spName,Habitat,pref Habitat,FW,SW,DW,Comment_Lab,LSWC,FvFm,LA,gmin,Ptlp,Leaf area,Midrib VLA,2VLA,3VLA,MajVLA
245,3,1,4451,22,Bafog,26,5,24,4,sup,,,Jacaranda,copaia,Jacaranda_copaia subsp. copaia,TF,Generalist,0.7118,0.7356,0.2895,,1.540932642,822,10.92924225,6.821482903,,15.7244873,0.449338814,1.840841991,3.656380265,5.94656107
246,3,1,15283,32,Bafog,13,3,14,4,middle,,,Eschweilera,coriacea,Eschweilera_coriacea,TF,Generalist,0.748,0.7643,0.3496,,1.186212815,812,58.35262271,2.005877323,-1.00058,81.35071874,0.206848603,1.183539595,2.425534911,3.815923109
247,3,9,41396,63,Bafog,12,2,10,3,inf,,,Vouacapoua,americana,Vouacapoua_americana,TF,TF,0.5585,0.58,0.3083,,0.881284463,828,38.63055026,3.32482477,-1.3860975,57.39597511,0.320011999,1.423894545,4.111879628,5.855786172
248,3,17,41678,70,Bafog,16,2,14,2,middle,,,Casearia,javitensis,Casearia_javitensis,TF,TF,0.768,0.8628,0.292,,1.954794521,765,45.68677103,7.395667267,-0.9186825,43.3434302,0.298126354,1.282003792,2.79179134,4.371921485
249,3,17,41670,62,Bafog,7,3,6,3,middle,etete,,Conceveiba,guianensis,Conceveiba_guianensis,TF,Generalist,5.3164,5.6581,2.0834,,1.715801094,816,277.9322398,3.503858293,-1.6457725,251.4719882,0.094322854,0.558646963,1.505514887,2.158484704
250,3,17,41655,47,Bafog,13,2,11,2,middle,,,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,1.3294,1.391,0.4691,,1.965252611,783,91.80220299,1.774180447,-1.7696175,128.6574848,0.17993635,0.872708303,1.06097671,2.113621363
251,3,17,41659,51,Bafog,24,4,18,3,middle,,,Virola,michelii,Virola_michelii,TF,Generalist,1.0982,1.1682,0.4617,,1.530214425,736,42.92573572,8.727872496,-1.683725,62.43577362,0.236962405,1.579771075,3.387549718,5.204283198
252,3,18,15399,29,Bafog,20,2,16,2,inf,,,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,0.576,0.5722,0.2184,,1.61996337,809,27.82265101,1.371742335,-1.6138125,36.20013128,0.32296116,1.70968892,3.961355699,5.994005778
253,3,18,41699,55,Bafog,23,2,19,2,middle,,,Licania,membranacea,Licania_membranacea,TF,TF,1.1858,1.251,0.4649,,1.690901269,816,82.13369662,3.976642976,-1.8934625,120.5083736,0.143708778,0.660431261,6.273883749,7.078023788
254,3,18,4543,16,Bafog,16,3,16,3,sup,,,Conceveiba,guianensis,Conceveiba_guianensis,TF,Generalist,2.1148,2.2069,0.9199,,1.399065116,777,85.81362374,2.564300424,-1.8734875,120.6091542,0.175168683,0.74969489,1.903400105,2.828263678
255,3,18,15406,40,Bafog,18,3,16,2,middle,,,Protium,stevensonii,Protium_stevensonii,TF,Generalist,0.8927,0.9206,0.4712,,0.953735144,835,42.42316112,7.289698829,,61.57103335,0.246854555,1.025018365,2.382870289,3.654743208
256,3,10,41416,53,Bafog,20,2,18,2,inf,,,Chrysophyllum,prieurii,Chrysophyllum_prieurii,TF,Generalist,2.9312,3.2176,1.3887,,1.31698711,775,73.36951304,19.14562773,-2.115185,70.85278042,0.241277613,1.337181761,2.208861336,3.78732071
257,3,10,41420,57,Bafog,16,2,13,2,sup,,,Protium,stevensonii,Protium_stevensonii,TF,Generalist,0.7731,0.8111,0.348,,1.330747126,830,48.59302277,3.157043437,-2.1571325,70.78680467,0.248421123,1.216157808,1.566503127,3.031082058
258,3,10,15353,36,Bafog,21,3,18,3,middle,,,Eschweilera,coriacea,Eschweilera_coriacea,TF,Generalist,1.7274,1.8119,0.7549,,1.400185455,789,99.64697813,1.930369925,-1.6457725,141.3162436,0.152741021,0.889901062,1.466508216,2.509150298
259,3,3,41201,44,Bafog,18,2,16,3,middle,,,Dicorynia,guianensis,Dicorynia_guianensis,TF,TF,2.0386,2.1763,0.805,,1.703478261,788,82.40227471,4.423291287,-1.49596,119.9482159,0.156683352,1.132250977,2.348448063,3.637382392
260,3,12,3145,8,Bafog,16,3,16,3,sup,,,Iryanthera,sagotiana,Iryanthera_sagotiana,TF,TF,1.1354,1.1625,0.4611,,1.521145088,819,52.97689757,3.152383564,-1.6018275,73.58045952,0.228983457,1.369379481,3.608846468,5.207209407
261,3,12,41508,74,Bafog,19,3,15,3,middle,,erreur bota,Tachigali,melinonii,Tachigali_melinonii,TF,Generalist,0.6062,0.6354,0.2865,,1.217801047,795,33.4583101,3.155526319,,48.89117392,0.25007784,1.1971391,3.528420418,4.975637357
